video_name,link,thumbnail_link,duration,views,upload_date,likes,comments
"All About Hackathons | How to Find, Participate & Win! | Hackathon Success Secrets",https://www.youtube.com/watch?v=o6YzZvQfVqE,https://i.ytimg.com/vi/o6YzZvQfVqE/hqdefault.jpg,467.0,38493,N/A,N/A,N/A
DSA In Java | Queues | Java in One Shot | Queues in Java,https://www.youtube.com/watch?v=Wx02SYibTQ8,https://i.ytimg.com/vi/Wx02SYibTQ8/hqdefault.jpg,14322.0,13757,N/A,N/A,N/A
Gemini 3 Just Crushed Everything! How One Model Changed It All,https://www.youtube.com/watch?v=XVxFc-HuK5A,https://i.ytimg.com/vi/XVxFc-HuK5A/hqdefault.jpg,294.0,4564,N/A,N/A,N/A
Worried About Data Science Competition? Real Strategies to Stand Out,https://www.youtube.com/watch?v=7H1Zdy6-TGc,https://i.ytimg.com/vi/7H1Zdy6-TGc/hqdefault.jpg,351.0,744,N/A,N/A,N/A
Is Coding Just a Strategy Game? Let’s Break It Down!,https://www.youtube.com/watch?v=9_IdhO9IicU,https://i.ytimg.com/vi/9_IdhO9IicU/hqdefault.jpg,432.0,2483,N/A,N/A,N/A
DSA In Java | Stacks | Java in One Shot | Stacks in Java,https://www.youtube.com/watch?v=aM5HOT7IxWE,https://i.ytimg.com/vi/aM5HOT7IxWE/hqdefault.jpg,27595.0,30462,N/A,N/A,N/A
Web 4.O Is Coming? | The Internet You Won’t Recognize,https://www.youtube.com/watch?v=UJmSfYCYqQ8,https://i.ytimg.com/vi/UJmSfYCYqQ8/hqdefault.jpg,255.0,8998,N/A,N/A,N/A
DSA In Java | Linked List Part 2 | Java in One Shot | Linked List in Java,https://www.youtube.com/watch?v=BouH1UmDabE,https://i.ytimg.com/vi/BouH1UmDabE/hqdefault.jpg,27552.0,27138,N/A,N/A,N/A
NIMCET 2026 Preparation | How To Become NIMCET AIR -1? | NIMCET Roadmap,https://www.youtube.com/watch?v=dQkZBtTLHWo,https://i.ytimg.com/vi/dQkZBtTLHWo/hqdefault.jpg,579.0,20650,N/A,N/A,N/A
"Book Your First 1:1 Session- GeeksforGeeks Connect | Mock Interviews, Career Guidance, Resume Review",https://www.youtube.com/watch?v=j2Vttb0oc-4,https://i.ytimg.com/vi/j2Vttb0oc-4/hqdefault.jpg,40.0,1559,N/A,N/A,N/A
How Large Banks Use AI? | Generative AI & Machine Learning in Banking,https://www.youtube.com/watch?v=e-o5BFeYVmc,https://i.ytimg.com/vi/e-o5BFeYVmc/hqdefault.jpg,373.0,830,N/A,N/A,N/A
Complete MERN Stack Developer Roadmap For Beginners (2026),https://www.youtube.com/watch?v=o2HSY9j4Y9M,https://i.ytimg.com/vi/o2HSY9j4Y9M/hqdefault.jpg,375.0,12442,N/A,N/A,N/A
What Is GfG Connect? | How To Use GfG Connect? | Complete Details ,https://www.youtube.com/watch?v=8-iCIl4pLVk,https://i.ytimg.com/vi/8-iCIl4pLVk/hqdefault.jpg,341.0,6265,N/A,N/A,N/A
Your Tech Interview Preparation Journey Just Got Easier!,https://www.youtube.com/watch?v=WvkkNLGKIss,https://i.ytimg.com/vi/WvkkNLGKIss/hqdefault.jpg,60.0,788,N/A,N/A,N/A
Is Maths Required for Coding? | Coding Tips for Beginners,https://www.youtube.com/watch?v=VsgAPjAszUY,https://i.ytimg.com/vi/VsgAPjAszUY/hqdefault.jpg,437.0,3684,N/A,N/A,N/A
How To Create a Resume: Step-by-Step Guide,https://www.youtube.com/watch?v=vdclmE4Sb_w,https://i.ytimg.com/vi/vdclmE4Sb_w/hqdefault.jpg,1505.0,3322,N/A,N/A,N/A
How to Succeed as a Self-Taught Programmers | Real Advice for Coders | Self-Taught Programmers,https://www.youtube.com/watch?v=ucPQKSUYAGc,https://i.ytimg.com/vi/ucPQKSUYAGc/hqdefault.jpg,431.0,6350,N/A,N/A,N/A
21 project 21 days | Building a Natural Language to SQL Generator,https://www.youtube.com/watch?v=yrlzEHvNGiI,https://i.ytimg.com/vi/yrlzEHvNGiI/hqdefault.jpg,7864.0,3721,N/A,N/A,N/A
How To Get 75 + Marks In GATE 2026 Last 90 Days Strategy | GATE 2026 Preparation,https://www.youtube.com/watch?v=bOwppKopEgE,https://i.ytimg.com/vi/bOwppKopEgE/hqdefault.jpg,274.0,9686,N/A,N/A,N/A
21 project 21 days | Building a Digit Recognizer from Scratch,https://www.youtube.com/watch?v=72w86hJgCXc,https://i.ytimg.com/vi/72w86hJgCXc/hqdefault.jpg,7053.0,2171,N/A,N/A,N/A
Python Roadmap 2026 | Complete Python Programming Roadmap (Zero to Expert) 🐍,https://www.youtube.com/watch?v=somNnc2OYn0,https://i.ytimg.com/vi/somNnc2OYn0/hqdefault.jpg,289.0,7623,N/A,N/A,N/A
"21 Projects, 21 Days | An Inside Look at Netflix's Content Strategy",https://www.youtube.com/watch?v=ahVJjETyEH4,https://i.ytimg.com/vi/ahVJjETyEH4/hqdefault.jpg,7250.0,2621,N/A,N/A,N/A
C vs C++: Which Is Better for You? | What coding language should you learn?,https://www.youtube.com/watch?v=hgT_U0yv8cc,https://i.ytimg.com/vi/hgT_U0yv8cc/hqdefault.jpg,200.0,4370,N/A,N/A,N/A
Start Your Gen AI Journey: 3 Easy Beginner Steps!,https://www.youtube.com/watch?v=Vi-nm4RmA2Q,https://i.ytimg.com/vi/Vi-nm4RmA2Q/hqdefault.jpg,900.0,1513,N/A,N/A,N/A
"Nation SkillUp Free Courses Coming | Gen AI, C# And Many More",https://www.youtube.com/watch?v=KkFpeC2yi34,https://i.ytimg.com/vi/KkFpeC2yi34/hqdefault.jpg,129.0,19717,N/A,N/A,N/A
How to Choose the Right AI Solution? | Top Tips for Selecting AI Tools & Solutions in 2025,https://www.youtube.com/watch?v=rMAi3arpil0,https://i.ytimg.com/vi/rMAi3arpil0/hqdefault.jpg,512.0,1244,N/A,N/A,N/A
DSA In Java | Linked List | Java in One Shot | Linked List in Java,https://www.youtube.com/watch?v=vMbyRcCabig,https://i.ytimg.com/vi/vMbyRcCabig/hqdefault.jpg,22216.0,55899,N/A,N/A,N/A
Not Getting Data Science Jobs? | New Era Begins,https://www.youtube.com/watch?v=XDCHv76ZgXA,https://i.ytimg.com/vi/XDCHv76ZgXA/hqdefault.jpg,598.0,26312,N/A,N/A,N/A
How to start coding In 2026? | Learn Programming for Beginners,https://www.youtube.com/watch?v=V_rCqfmT1ZE,https://i.ytimg.com/vi/V_rCqfmT1ZE/hqdefault.jpg,441.0,18646,N/A,N/A,N/A
DSA In Java | Object Oriented Programming | OOP | Java in One Shot | OOP in Java,https://www.youtube.com/watch?v=BPABIrkX50M,https://i.ytimg.com/vi/BPABIrkX50M/hqdefault.jpg,16175.0,61615,N/A,N/A,N/A
GATE 2026 Crash Course by GeeksforGeeks | Complete Syllabus & Strategy,https://www.youtube.com/watch?v=c3UJ5oM4JWc,https://i.ytimg.com/vi/c3UJ5oM4JWc/hqdefault.jpg,489.0,3358,N/A,N/A,N/A
What to do after BCA? Job vs MCA | Best Career Options After BCA,https://www.youtube.com/watch?v=9Xkp9lXuoKo,https://i.ytimg.com/vi/9Xkp9lXuoKo/hqdefault.jpg,893.0,43052,N/A,N/A,N/A
Paid Batches Vs Free Batches | Which Is Better?,https://www.youtube.com/watch?v=bGxHQJ48uWE,https://i.ytimg.com/vi/bGxHQJ48uWE/hqdefault.jpg,893.0,6250,N/A,N/A,N/A
DSA In Java | Cyclic Sort | Java in One Shot | Cyclic Sort in Java,https://www.youtube.com/watch?v=LLcjZ768dik,https://i.ytimg.com/vi/LLcjZ768dik/hqdefault.jpg,6849.0,11835,N/A,N/A,N/A
Resume Mistakes you must avoid | Why Your Resume Is Getting Rejected,https://www.youtube.com/watch?v=RgxuZNfCLmM,https://i.ytimg.com/vi/RgxuZNfCLmM/hqdefault.jpg,311.0,1603,N/A,N/A,N/A
"How To Crack India's First AI Unicorn? | Skills, Interview & Growth Tips",https://www.youtube.com/watch?v=hLVF_dxkGbE,https://i.ytimg.com/vi/hLVF_dxkGbE/hqdefault.jpg,2236.0,1716,N/A,N/A,N/A
DSA In Java | Merge Sort | Java in One Shot | Merge Sort in Java,https://www.youtube.com/watch?v=w9ezyAKdT44,https://i.ytimg.com/vi/w9ezyAKdT44/hqdefault.jpg,7982.0,17484,N/A,N/A,N/A
What Is Data Science? | The Complete Data Science Roadmap | How To Become Data Scientist?,https://www.youtube.com/watch?v=1GlL2xdktr8,https://i.ytimg.com/vi/1GlL2xdktr8/hqdefault.jpg,1028.0,4594,N/A,N/A,N/A
Data Science FAQs | Answer of All Your Questions,https://www.youtube.com/watch?v=Zr3OzW7On6I,https://i.ytimg.com/vi/Zr3OzW7On6I/hqdefault.jpg,687.0,1582,N/A,N/A,N/A
"If I had to learn DSA again , I'd do this | Complete DSA Roadmap | DSA Roadmap For Internships",https://www.youtube.com/watch?v=Yu73bNO0ITU,https://i.ytimg.com/vi/Yu73bNO0ITU/hqdefault.jpg,929.0,340635,N/A,N/A,N/A
DSA In Java | Recursion Part 2 | Java in One Shot | Recursion Part 2 in Java,https://www.youtube.com/watch?v=hJmHJSyGAaI,https://i.ytimg.com/vi/hJmHJSyGAaI/hqdefault.jpg,13071.0,31687,N/A,N/A,N/A
"Teacher Day Celebration 2025 🎉| Fun, Joy & Surprises Together❤️ #teachersdaywithgfg",https://www.youtube.com/watch?v=QpAf49_SBAs,https://i.ytimg.com/vi/QpAf49_SBAs/hqdefault.jpg,1370.0,1289,N/A,N/A,N/A
What is Generative AI? | Generative AI Roadmap For Absolute Beginners 🔥,https://www.youtube.com/watch?v=hbRgHyHNVag,https://i.ytimg.com/vi/hbRgHyHNVag/hqdefault.jpg,778.0,1877,N/A,N/A,N/A
I reviewed 100+ resumes so that you can avoid these Resume Mistakes + Free Template!,https://www.youtube.com/watch?v=tnqPUh0YuBE,https://i.ytimg.com/vi/tnqPUh0YuBE/hqdefault.jpg,110.0,3311,N/A,N/A,N/A
DSA In Java | Recursion Part 1 | Java in One Shot | Recursion Part 1 in Java,https://www.youtube.com/watch?v=UTutbbpOLgE,https://i.ytimg.com/vi/UTutbbpOLgE/hqdefault.jpg,14285.0,59912,N/A,N/A,N/A
